valid_time	latitude	longitude	tcc
1546300800	32.42	72.17	0.82985836
1546300800	32.42	72.42	0.82349735
1546300800	32.42	72.67	0.8598142
1546300800	32.17	72.17	0.8698774
1546300800	32.17	72.42	0.8480421
1546300800	32.17	72.67	0.84187275
1546300800	31.92	72.17	0.87334496
1546300800	31.92	72.42	0.86380917
1546300800	31.92	72.67	0.8584371
1546304400	32.42	72.17	0.95815283
1546304400	32.42	72.42	0.95555216
1546304400	32.42	72.67	0.93412596
1546304400	32.17	72.17	0.94816405
1546304400	32.17	72.42	0.94671255
1546304400	32.17	72.67	0.9533778
1546304400	31.92	72.17	0.9282866
1546304400	31.92	72.42	0.9515267
1546304400	31.92	72.67	0.9602795
1546308000	32.42	72.17	0.9923685
1546308000	32.42	72.42	0.9899903
1546308000	32.42	72.67	0.9889944
1546308000	32.17	72.17	0.9944077
1546308000	32.17	72.42	0.9920183
1546308000	32.17	72.67	0.9899903
1546308000	31.92	72.17	0.9975105
1546308000	31.92	72.42	0.99396735
1546308000	31.92	72.67	0.99167114
1546311600	32.42	72.17	0.97013456
1546311600	32.42	72.42	0.9825414
1546311600	32.42	72.67	0.99471885
1546311600	32.17	72.17	0.9842065
1546311600	32.17	72.42	0.9955371
1546311600	32.17	72.67	0.99825746
1546311600	31.92	72.17	0.9878047
1546311600	31.92	72.42	0.9897488
1546311600	31.92	72.67	0.9927376
1546315200	32.42	72.17	0.9880194
1546315200	32.42	72.42	0.9880194
1546315200	32.42	72.67	0.98666817
1546315200	32.17	72.17	0.98999023
1546315200	32.17	72.42	0.98999023
1546315200	32.17	72.67	0.9876572
1546315200	31.92	72.17	0.98999023
1546315200	31.92	72.42	0.988886
1546315200	31.92	72.67	0.9865332
1546318800	32.42	72.17	0.99525297
1546318800	32.42	72.42	0.99716055
1546318800	32.42	72.67	0.9923719
1546318800	32.17	72.17	0.99320734
1546318800	32.17	72.42	0.99622023
1546318800	32.17	72.67	0.9918579
1546318800	31.92	72.17	0.9924797
1546318800	31.92	72.42	0.9883894
1546318800	31.92	72.67	0.9837569
1546322400	32.42	72.17	0.95671433
1546322400	32.42	72.42	0.9659211
1546322400	32.42	72.67	0.975352
1546322400	32.17	72.17	0.968816
1546322400	32.17	72.42	0.97694224
1546322400	32.17	72.67	0.9782683
1546322400	31.92	72.17	0.9771835
1546322400	31.92	72.42	0.9770209
1546322400	31.92	72.67	0.9786059
1546326000	32.42	72.17	0.9665236
1546326000	32.42	72.42	0.9910216
1546326000	32.42	72.67	0.9972548
1546326000	32.17	72.17	0.9498877
1546326000	32.17	72.42	0.9745001
1546326000	32.17	72.67	0.99625915
1546326000	31.92	72.17	0.8601088
1546326000	31.92	72.42	0.9518561
1546326000	31.92	72.67	0.9745001
1546329600	32.42	72.17	0.8274555
1546329600	32.42	72.42	0.85487556
1546329600	32.42	72.67	0.91249084
1546329600	32.17	72.17	0.84464073
1546329600	32.17	72.42	0.86655045
1546329600	32.17	72.67	0.8949089
1546329600	31.92	72.17	0.8130665
1546329600	31.92	72.42	0.8441944
1546329600	31.92	72.67	0.8689823
1546333200	32.42	72.17	0.9656749
1546333200	32.42	72.42	0.9458308
1546333200	32.42	72.67	0.89833784
1546333200	32.17	72.17	0.8820033
1546333200	32.17	72.42	0.8731952
1546333200	32.17	72.67	0.8792834
1546333200	31.92	72.17	0.82724714
1546333200	31.92	72.42	0.82353926
1546333200	31.92	72.67	0.8307452
1546336800	32.42	72.17	0.9858763
1546336800	32.42	72.42	0.9891417
1546336800	32.42	72.67	0.9809954
1546336800	32.17	72.17	0.9668944
1546336800	32.17	72.42	0.9734709
1546336800	32.17	72.67	0.9770186
